id,value
id_0,4.326510460622649
id_1,16.367231635121918
id_2,24.130950630955837
id_3,7.5748278565276115
id_4,27.781393303078783
id_5,20.965358564520955
id_6,22.83746993073027
id_7,30.88269264075684
id_8,17.48428935196798
id_9,56.95920169887614
id_10,14.404564646080562
id_11,10.395487710900925
id_12,60.60117270273015
id_13,52.058864270639916
id_14,21.825602235661442
id_15,11.092092252353579
id_16,31.358356820752785
id_17,68.6801262228073
id_18,-0.12506859361671885
id_19,16.532487250129826
id_20,42.141877234153434
id_21,70.98481568201512
id_22,9.161899646308093
id_23,18.774511917649345
id_24,14.375703076952068
id_25,38.67341793252489
id_26,13.956254274903515
id_27,73.77007581802596
id_28,7.2259101344806
id_29,55.5930284661999
id_30,22.035027830697544
id_31,7.958511911704309
id_32,3.5273233417910292
id_33,21.921798928393628
id_34,30.802598079599846
id_35,36.5145991543185
id_36,42.42691109286032
id_37,30.17664008424073
id_38,43.57840901206089
id_39,35.79592695197938
id_40,7.224751782098704
id_41,39.865688829884846
id_42,32.064396872541906
id_43,49.949498373712565
id_44,15.189672922502249
id_45,35.93626924063856
id_46,24.51769447313241
id_47,10.270341889252617
id_48,22.81427230728216
id_49,32.67173885015633
id_50,20.54798224741164
id_51,9.175888350236232
id_52,22.028791486286437
id_53,53.499421150965084
id_54,15.483939562246148
id_55,35.28425012356219
id_56,31.933288242023195
id_57,23.667483655234122
id_58,58.19266947233381
id_59,21.072943902243388
id_60,16.068873735400757
id_61,42.44545037299157
id_62,12.482992109379358
id_63,50.06414517460155
id_64,15.5158033378078
id_65,16.04786563072086
id_66,14.002788591423673
id_67,0.2614752455226015
id_68,42.96062291636919
id_69,31.914431113278887
id_70,20.55759784498405
id_71,38.04836026549343
id_72,58.888087081645885
id_73,4.968280765770317
id_74,17.305526193840592
id_75,5.9447277668225365
id_76,38.923919493489464
id_77,15.234836901294011
id_78,24.077525612824903
id_79,22.83768605729435
id_80,25.356015102735636
id_81,38.51987973740767
id_82,23.035086573427904
id_83,90.30820848282931
id_84,35.552395827378206
id_85,25.83832214648119
id_86,23.179122676164663
id_87,30.173648920872747
id_88,24.533715823823357
id_89,22.542002464502467
id_90,29.369456511050373
id_91,40.595122171676806
id_92,4.837143509917276
id_93,37.781005583879846
id_94,45.86536107025398
id_95,15.466004200661903
id_96,34.299556000587955
id_97,11.89545524793664
id_98,25.189198380922555
id_99,3.4243397785422944
id_100,18.91307985664577
id_101,29.006595517550416
id_102,13.115385390338062
id_103,15.997034389758806
id_104,22.688727070222065
id_105,38.91212243370052
id_106,29.49290645827986
id_107,7.511577271148658
id_108,9.12733285327328
id_109,78.24188719825655
id_110,46.00926209964493
id_111,14.652156285195169
id_112,27.816924941683943
id_113,15.175895811539394
id_114,14.403167145810734
id_115,25.08179221934257
id_116,24.63624691224737
id_117,9.651197995016943
id_118,18.116660723407993
id_119,19.197974127078425
id_120,81.61204075904007
id_121,25.134528446975438
id_122,33.985127590127895
id_123,24.495492763396868
id_124,8.387092100426045
id_125,42.04808486665606
id_126,10.64403402666121
id_127,19.24142411044331
id_128,28.542627225368168
id_129,62.947260366070964
id_130,22.35528139551775
id_131,22.799059707014088
id_132,58.401669023636565
id_133,14.602329288633172
id_134,14.5110383242549
id_135,2.194121754904966
id_136,11.503439401218046
id_137,58.38570728013525
id_138,18.13823326090493
id_139,5.947828420882054
id_140,26.51787286296138
id_141,25.701606348406493
id_142,43.70813077120477
id_143,30.59533241646129
id_144,17.63837580192559
id_145,26.203506924306122
id_146,10.49129942845017
id_147,51.362728526764116
id_148,22.635507751679157
id_149,38.57861356723621
id_150,9.173208787240757
id_151,6.995626380058085
id_152,25.122241081977084
id_153,7.3043407183903994
id_154,16.11851940921975
id_155,41.59811303184219
id_156,8.799091538662775
id_157,37.15261028010935
